"820529","2","0.128","-0.041","-0.043"
"820534","2","0.137","-0.034","-0.040"
"820535","1","-0.006","-0.352","0.249"
"820538","2","0.142","-0.025","-0.034"
"820538","1","0.007","-0.342","0.293"
"820543","1","-0.000","-0.321","0.307"
"820544","2","0.142","-0.018","-0.029"
"820548","1","-0.032","-0.296","0.316"
"820549","2","0.146","-0.014","-0.025"
"820554","2","0.143","-0.011","-0.015"
"820561","2","0.136","-0.010","0.010"
"820563","1","-0.091","-0.210","0.307"
"820565","2","0.132","-0.010","0.010"
"820566","1","-0.106","-0.210","0.293"
"820568","2","0.127","-0.011","0.022"
"820568","1","-0.080","-0.201","0.263"
"820573","1","-0.066","-0.186","0.241"
"820574","2","0.118","-0.009","0.034"
"820579","2","0.112","-0.011","0.049"
"820579","1","-0.050","-0.202","0.229"
"820583","2","0.110","-0.009","0.056"
"820587","2","0.110","-0.008","0.061"
"820588","1","-0.031","-0.231","0.153"
"820593","2","0.110","-0.002","0.063"
"820593","1","0.004","-0.213","0.099"
"820598","1","0.034","-0.195","0.062"
"820598","2","0.108","0.007","0.068"
"820603","2","0.109","0.014","0.072"
"820603","1","0.037","-0.191","0.039"
"820608","1","0.029","-0.190","0.019"
"820612","1","0.033","-0.189","0.000"
"820615","2","0.115","0.023","0.081"
"820617","1","-0.002","-0.181","-0.028"
"820618","2","0.117","0.027","0.087"
"820623","1","-0.042","-0.167","-0.023"
"820625","2","0.119","0.028","0.092"
"820628","2","0.124","0.028","0.092"
"820629","1","-0.073","-0.165","-0.000"
"820633","2","0.128","0.022","0.095"
"820634","1","-0.112","-0.193","0.006"
"820642","1","-0.152","-0.225","-0.017"
"820643","2","0.142","0.009","0.099"
"820643","1","-0.176","-0.228","-0.019"
"820647","2","0.154","-0.003","0.102"
"820647","1","-0.176","-0.249","-0.033"
"820652","2","0.172","-0.013","0.103"
"820652","1","-0.196","-0.297","-0.081"
"820657","2","0.198","-0.027","0.103"
"820657","1","-0.226","-0.340","-0.113"
"820661","2","0.232","-0.042","0.101"
"820666","2","0.276","-0.052","0.097"
"820668","1","-0.172","-0.436","-0.129"
"820671","2","0.331","-0.062","0.094"
"820672","1","-0.135","-0.497","-0.101"
"820678","1","-0.072","-0.564","-0.071"
"820679","2","0.395","-0.069","0.090"
"820681","2","0.467","-0.071","0.091"
"820682","1","0.004","-0.638","-0.035"
"820686","2","0.542","-0.072","0.096"
"820687","1","0.084","-0.709","0.003"
"820694","2","0.622","-0.062","0.103"
"820697","2","0.706","-0.055","0.112"
"820698","1","0.261","-0.805","0.155"
"820701","2","0.785","-0.044","0.128"
"820702","1","0.391","-0.837","0.219"
"820706","2","0.857","-0.024","0.147"
"820707","1","0.482","-0.849","0.319"
"820711","2","0.918","-0.001","0.169"
"820711","1","0.565","-0.856","0.404"
"820716","1","0.681","-0.841","0.467"
"820721","2","0.993","0.049","0.224"
