"171213","9","Enter","171301"
"171507","9","Enter","171595"
"171800","9","Enter","171889"
"172136","9","Enter","172248"
"172452","9","Enter","172519"
"172747","9","Enter","172833"
"173058","9","Enter","173146"
"173372","9","Enter","173439"
"173668","9","Enter","173732"
"173986","9","Enter","174069"
"174319","9","Enter","174363"
"174655","9","Enter","174676"
"174613","9","Enter","174700"
"174928","9","Enter","175014"
"175263","9","Enter","175308"
"175243","9","Enter","175330"
"175600","9","Enter","175620"
