"390756","2","-0.048","-0.055","-0.004"
"390759","1","-0.022","-0.151","0.043"
"390760","2","-0.052","-0.055","-0.004"
"390761","1","0.030","-0.173","0.020"
"390762","2","-0.050","-0.064","-0.002"
"390775","2","-0.033","-0.058","0.007"
"390776","1","0.040","-0.102","-0.072"
"390780","2","-0.031","-0.040","0.019"
"390790","1","0.127","-0.036","-0.182"
"390791","2","-0.061","-0.031","0.022"
"390795","1","0.149","0.004","-0.218"
"390807","2","-0.086","-0.022","0.029"
"390809","1","0.127","0.287","-0.421"
"390809","2","-0.152","-0.011","0.042"
"390820","2","-0.265","-0.001","0.053"
"390839","2","-0.307","-0.001","0.053"
"390840","1","0.095","0.415","-0.718"
"390840","2","-0.403","0.015","0.097"
"390842","1","0.074","0.798","-1.045"
"390843","2","-0.458","0.015","0.097"
"390855","1","0.083","0.978","-1.101"
"390856","1","0.077","0.978","-1.101"
"390856","2","-0.565","0.036","0.132"
"390857","1","0.075","1.071","-1.123"
"390858","2","-0.605","0.036","0.132"
"390865","1","0.048","1.093","-1.053"
"390866","2","-0.638","0.068","0.176"
"390869","2","-0.663","0.068","0.176"
"390870","1","0.004","1.058","-0.940"
"390873","2","-0.667","0.090","0.206"
"390877","2","-0.655","0.118","0.240"
"390880","1","-0.107","0.885","-0.647"
"390883","2","-0.615","0.148","0.284"
"390883","1","-0.173","0.812","-0.558"
"390888","2","-0.556","0.171","0.337"
"390889","1","-0.273","0.759","-0.468"
"390893","1","-0.400","0.680","-0.451"
"390893","2","-0.482","0.189","0.390"
"390897","2","-0.392","0.197","0.442"
"390899","1","-0.523","0.697","-0.457"
"390906","1","-0.613","0.802","-0.452"
"390907","2","-0.198","0.187","0.546"
"390908","1","-0.723","0.909","-0.427"
"390915","2","-0.113","0.169","0.599"
"390916","1","-0.841","1.008","-0.483"
"390919","2","-0.043","0.142","0.651"
"390920","1","-0.889","1.160","-0.569"
"390923","2","0.009","0.113","0.702"
"390924","1","-0.880","1.344","-0.624"
"390928","2","0.040","0.088","0.753"
"390935","2","0.054","0.065","0.799"
"390938","1","-0.906","1.566","-0.660"
"390939","2","0.044","0.048","0.835"
"390940","1","-0.867","1.661","-0.607"
"390945","1","-0.863","1.687","-0.462"
"390946","2","0.015","0.036","0.871"
"390951","2","-0.029","0.027","0.908"
"390952","1","-0.858","1.709","-0.261"
"390955","2","-0.083","0.020","0.948"
"390955","1","-0.840","1.749","-0.261"
"390959","2","-0.142","0.014","0.995"
"390965","2","-0.196","-0.001","1.049"
"390966","1","-0.844","1.866","-0.043"
"390970","2","-0.255","-0.025","1.110"
"390970","1","-0.892","1.866","-0.043"
"390974","1","-0.959","1.893","-0.050"
"390974","2","-0.314","-0.058","1.177"
"390979","1","-1.018","1.883","-0.171"
"390980","2","-0.368","-0.101","1.248"
"390984","2","-0.421","-0.157","1.314"
"390989","2","-0.470","-0.227","1.371"
"390989","1","-1.123","1.866","-0.493"
"390994","1","-1.155","1.780","-0.591"
"390995","2","-0.520","-0.294","1.414"
"391000","1","-1.082","1.639","-0.570"
"391002","2","-0.562","-0.362","1.452"
