"646011","2","0.294","0.245","0.049"
"646012","1","-0.001","0.048","0.105"
"646015","2","0.295","0.249","0.043"
"646016","1","0.017","0.045","0.063"
"646017","2","0.298","0.249","0.041"
"646018","1","0.032","0.059","0.020"
"646023","2","0.302","0.247","0.043"
"646024","1","0.039","0.077","-0.030"
"646028","2","0.307","0.247","0.044"
"646029","1","0.026","0.086","-0.052"
"646034","1","0.005","0.070","-0.075"
"646038","2","0.319","0.250","0.039"
"646040","1","0.015","0.026","-0.106"
"646043","2","0.317","0.253","0.032"
"646043","1","0.052","0.007","-0.132"
"646050","2","0.316","0.254","0.028"
"646051","1","0.094","-0.002","-0.125"
"646053","2","0.310","0.253","0.025"
"646053","1","0.134","-0.012","-0.139"
"646057","2","0.303","0.250","0.024"
"646062","2","0.293","0.254","0.028"
"646063","1","0.196","0.060","-0.236"
"646067","1","0.196","0.071","-0.266"
"646068","2","0.282","0.254","0.029"
"646073","2","0.272","0.252","0.027"
"646074","1","0.177","0.076","-0.272"
"646077","2","0.258","0.255","0.023"
"646078","1","0.165","0.076","-0.261"
"646084","2","0.245","0.259","0.021"
"646085","1","0.141","0.050","-0.268"
"646088","1","0.115","0.035","-0.305"
"646092","2","0.237","0.260","0.017"
"646094","1","0.103","0.024","-0.332"
"646097","2","0.237","0.252","0.015"
"646098","1","0.091","0.039","-0.319"
"646103","1","0.087","0.044","-0.315"
"646103","2","0.241","0.241","0.016"
"646108","2","0.246","0.229","0.017"
"646108","1","0.075","-0.005","-0.298"
"646112","2","0.249","0.212","0.015"
"646117","1","0.016","-0.055","-0.261"
"646118","2","0.250","0.200","0.014"
"646123","1","-0.018","-0.071","-0.229"
"646124","2","0.249","0.189","0.015"
"646127","2","0.246","0.176","0.012"
"646128","1","-0.014","-0.040","-0.239"
"646132","1","-0.015","-0.004","-0.276"
"646132","2","0.245","0.163","0.008"
"646137","2","0.249","0.156","0.010"
"646138","1","-0.007","0.004","-0.269"
"646142","1","-0.004","-0.008","-0.164"
"646147","2","0.252","0.155","0.007"
"646148","1","0.004","-0.004","-0.131"
"646152","2","0.251","0.156","0.007"
"646153","1","0.022","0.013","-0.114"
"646157","2","0.251","0.156","0.009"
"646157","1","-0.009","0.016","-0.084"
"646162","2","0.256","0.159","0.010"
"646162","1","-0.030","0.030","-0.070"
"646167","1","-0.012","0.051","-0.065"
"646172","2","0.266","0.160","0.006"
"646173","1","-0.073","0.077","-0.015"
"646177","2","0.278","0.154","0.003"
"646178","1","-0.139","0.054","0.028"
"646182","2","0.287","0.146","-0.002"
"646183","1","-0.151","0.069","0.042"
"646186","2","0.299","0.137","-0.012"
"646187","1","-0.160","0.055","0.051"
"646192","1","-0.206","0.032","0.054"
"646192","2","0.308","0.131","-0.017"
"646199","2","0.311","0.124","-0.023"
"646202","2","0.318","0.120","-0.026"
"646202","1","-0.154","0.024","0.034"
"646207","2","0.318","0.119","-0.022"
"646208","1","-0.156","-0.002","0.073"
"646212","2","0.318","0.115","-0.019"
"646213","1","-0.149","-0.015","0.098"
"646217","2","0.317","0.112","-0.015"
"646218","1","-0.111","-0.058","0.033"
"646222","2","0.315","0.111","-0.014"
"646227","2","0.312","0.110","-0.015"
"646228","1","-0.066","-0.079","-0.087"
"646232","2","0.307","0.112","-0.018"
"646233","1","-0.020","-0.124","-0.111"
"646237","2","0.310","0.114","-0.020"
"646237","1","0.032","-0.126","-0.072"
"646242","2","0.319","0.121","-0.021"
"646242","1","0.029","-0.158","-0.081"
"646246","2","0.329","0.127","-0.018"
"646247","1","0.056","-0.179","-0.101"
"646257","2","0.359","0.125","-0.020"
"646257","1","0.100","-0.165","-0.213"
"646267","2","0.390","0.105","-0.018"
"646268","1","0.103","-0.100","-0.342"
"646276","2","0.397","0.077","-0.017"
"646277","1","0.050","0.140","-0.602"
"646281","2","0.384","0.069","-0.014"
"646282","1","0.024","0.265","-0.729"
"646286","2","0.358","0.061","-0.014"
"646287","1","-0.009","0.421","-0.845"
"646296","2","0.322","0.059","-0.026"
"646297","2","0.274","0.059","-0.026"
"646298","1","-0.006","0.515","-0.797"
"646303","2","0.227","0.071","-0.035"
"646303","1","0.015","0.463","-0.724"
"646306","2","0.182","0.089","-0.044"
"646307","1","0.110","0.311","-0.625"
"646311","2","0.144","0.110","-0.050"
"646312","1","0.215","0.102","-0.526"
"646316","2","0.119","0.131","-0.052"
"646321","2","0.113","0.144","-0.053"
"646322","1","0.289","-0.165","-0.425"
"646326","2","0.117","0.142","-0.059"
"646327","1","0.331","-0.252","-0.363"
"646331","1","0.290","-0.254","-0.348"
"646332","2","0.135","0.133","-0.070"
"646337","1","0.232","-0.300","-0.350"
"646338","2","0.159","0.116","-0.088"
"646341","1","0.189","-0.294","-0.341"
"646342","2","0.183","0.095","-0.103"
"646349","1","0.136","-0.308","-0.337"
"646351","2","0.211","0.060","-0.115"
"646352","1","0.105","-0.309","-0.306"
"646356","2","0.205","0.051","-0.111"
"646357","1","0.107","-0.321","-0.284"
"646361","2","0.194","0.041","-0.103"
"646361","1","0.167","-0.335","-0.281"
"646366","2","0.176","0.028","-0.092"
"646367","1","0.254","-0.321","-0.295"
"646371","2","0.156","0.021","-0.079"
"646375","2","0.133","0.016","-0.070"
"646376","1","0.380","-0.209","-0.344"
"646381","1","0.440","-0.174","-0.380"
"646382","2","0.112","0.014","-0.067"
"646386","2","0.085","0.018","-0.069"
"646386","1","0.493","-0.191","-0.409"
"646391","1","0.522","-0.212","-0.422"
"646392","2","0.060","0.029","-0.078"
"646396","2","0.039","0.047","-0.085"
"646396","1","0.519","-0.249","-0.363"
"646401","2","0.019","0.065","-0.086"
"646406","1","0.449","-0.346","-0.164"
"646407","2","0.004","0.082","-0.083"
"646411","2","-0.001","0.094","-0.071"
"646411","1","0.429","-0.409","-0.141"
"646416","2","-0.001","0.100","-0.061"
"646417","1","0.398","-0.464","-0.109"
"646421","1","0.368","-0.502","-0.091"
"646421","2","0.016","0.099","-0.050"
"646426","2","0.041","0.091","-0.040"
"646431","2","0.065","0.080","-0.029"
"646432","1","0.251","-0.553","0.015"
"646436","1","0.203","-0.550","0.064"
"646437","2","0.087","0.062","-0.021"
"646441","1","0.140","-0.503","0.023"
"646441","2","0.104","0.043","-0.009"
"646446","1","0.064","-0.454","-0.023"
"646447","2","0.115","0.026","0.004"
"646451","2","0.116","0.010","0.019"
"646452","1","-0.003","-0.408","-0.015"
"646458","1","-0.050","-0.331","-0.029"
"646460","2","0.101","-0.006","0.051"
"646462","1","-0.102","-0.239","-0.067"
"646466","2","0.090","-0.011","0.061"
"646467","1","-0.139","-0.165","-0.129"
"646470","1","-0.172","-0.088","-0.159"
"646471","2","0.081","-0.012","0.066"
"646476","2","0.073","-0.014","0.070"
"646476","1","-0.226","-0.023","-0.169"
"646480","1","-0.288","0.011","-0.147"
"646486","2","0.051","-0.028","0.066"
"646486","1","-0.320","0.061","-0.125"
"646491","2","0.043","-0.039","0.065"
"646491","1","-0.335","0.113","-0.099"
"646496","2","0.048","-0.052","0.072"
"646496","1","-0.366","0.178","-0.006"
"646501","1","-0.418","0.196","0.050"
"646501","2","0.064","-0.069","0.080"
"646505","2","0.071","-0.090","0.083"
"646506","1","-0.451","0.188","0.003"
"646511","2","0.072","-0.111","0.078"
"646515","2","0.073","-0.128","0.067"
"646516","1","-0.496","0.283","-0.078"
"646520","2","0.065","-0.137","0.046"
"646521","1","-0.483","0.355","-0.078"
"646525","1","-0.459","0.399","-0.062"
"646526","2","0.050","-0.144","0.024"
"646530","1","-0.431","0.447","0.023"
"646531","2","0.027","-0.144","0.004"
"646535","1","-0.387","0.468","0.145"
"646540","2","-0.006","-0.127","-0.019"
"646541","1","-0.367","0.485","0.193"
"646546","2","-0.019","-0.126","-0.018"
"646546","1","-0.357","0.526","0.184"
"646550","2","-0.032","-0.127","-0.019"
"646551","1","-0.352","0.557","0.193"
"646556","2","-0.033","-0.125","-0.028"
"646556","1","-0.311","0.516","0.278"
"646560","2","-0.034","-0.120","-0.046"
"646561","1","-0.263","0.403","0.366"
"646565","1","-0.157","0.283","0.073"
"646570","2","-0.049","-0.105","-0.119"
"646572","1","-0.009","0.351","-0.518"
"646575","2","-0.026","-0.103","-0.159"
"646576","1","0.193","0.454","-0.466"
"646580","1","0.375","0.348","-1.600"
"646580","2","0.022","-0.110","-0.194"
"646585","1","0.593","0.224","-3.800"
"646585","2","0.073","-0.113","-0.235"
"646590","1","1.016","-0.492","-3.172"
"646595","2","0.321","-0.182","-0.316"
"646595","1","1.723","-2.263","-0.096"
"646600","2","0.421","-0.209","-0.245"
"646601","1","2.579","-4.059","1.877"
"646605","1","3.276","-4.704","2.114"
"646606","2","0.524","-0.194","-0.069"
"646610","2","0.629","-0.173","0.147"
"646610","1","3.572","-4.027","2.032"
"646615","2","0.721","-0.198","0.330"
"646615","1","3.456","-2.558","2.145"
"646622","1","3.030","-1.123","1.962"
"646625","2","0.732","-0.304","0.399"
"646625","1","2.524","-0.168","1.393"
"646630","2","0.577","-0.274","0.314"
"646630","1","2.053","0.342","0.782"
"646635","1","1.638","0.648","0.242"
"646635","2","0.329","-0.151","0.189"
"646640","1","1.267","0.889","-0.124"
"646640","2","0.043","0.043","0.071"
"646645","2","-0.231","0.249","-0.016"
"646650","2","-0.452","0.411","-0.071"
