"1548718555589","-23"
"1548718555590","0"
"1548718555591","-23"
"1548718555592","0"
"1548718555623","-23"
"1548718555624","0"
"1548718555625","-23"
"1548718555626","0"
"1548718555657","-23"
"1548718555658","0"
"1548718555659","-23"
"1548718555660","0"
"1548718555682","-23"
"1548718555683","0"
"1548718555684","-23"
"1548718555685","0"
"1548718555709","-23"
"1548718555710","0"
"1548718555711","-23"
"1548718555712","0"
"1548718555731","-23"
"1548718555732","0"
"1548718555733","-23"
"1548718555734","0"
"1548718555753","-23"
"1548718555754","0"
"1548718555755","-23"
"1548718555756","0"
"1548718555770","-23"
"1548718555771","0"
"1548718555772","-23"
"1548718555773","0"
"1548718555790","-23"
"1548718555791","0"
"1548718555792","-23"
"1548718555793","0"
"1548718555805","-23"
"1548718555807","0"
"1548718555808","-23"
"1548718555809","0"
"1548718555826","-23"
"1548718555827","0"
"1548718555829","-23"
"1548718555831","0"
"1548718555844","-23"
"1548718555845","0"
"1548718555846","-23"
"1548718555847","0"
"1548718555865","-23"
"1548718555866","0"
"1548718555867","-23"
"1548718555868","0"
"1548718555886","-23"
"1548718555887","0"
"1548718555888","-23"
"1548718555889","0"
"1548718555910","-23"
"1548718555911","0"
"1548718555912","-23"
"1548718555913","0"
"1548718555937","-23"
"1548718555938","0"
"1548718555939","-23"
"1548718555940","0"
"1548718555977","-23"
"1548718555978","0"
"1548718555979","-23"
"1548718555980","0"
"1548718556023","-23"
"1548718556024","0"
"1548718556025","-23"
"1548718556026","0"
"1548718556069","-23"
"1548718556070","0"
"1548718556071","-23"
"1548718556072","0"
"1548718556104","-23"
"1548718556105","0"
"1548718556106","-23"
"1548718556107","0"
"1548718556137","-23"
"1548718556138","0"
"1548718556139","-23"
"1548718556140","0"
"1548718556163","-23"
"1548718556164","0"
"1548718556165","-23"
"1548718556166","0"
"1548718556191","-23"
"1548718556192","0"
"1548718556193","-23"
"1548718556194","0"
"1548718556216","-23"
"1548718556217","0"
"1548718556218","-23"
"1548718556219","0"
"1548718556243","-23"
"1548718556244","0"
"1548718556245","-23"
"1548718556246","0"
"1548718556265","-23"
"1548718556266","0"
"1548718556268","-23"
"1548718556269","0"
"1548718556288","-23"
"1548718556289","0"
"1548718556290","-23"
"1548718556291","0"
"1548718556308","-23"
"1548718556309","0"
"1548718556310","-23"
"1548718556312","0"
"1548718556337","-23"
"1548718556338","0"
"1548718556339","-23"
