"587119","9","Enter","587216"
"587443","9","Enter","587509"
"587667","9","Enter","587735"
"587915","9","Enter","588005"
"588138","9","Enter","588206"
"588342","9","Enter","588431"
"589516","0","609.0","366.0","0.55","0.19642858","0.0","0.0","0.0"
"589587","0","605.5473","363.5473","0.4625","0.19642858","-112.4635","-112.51643","0.0"
"589592","099999","605.0","363.0","0.3125","0.1607143","-111.70204","-111.69624","0.0"
"589598","099999","605.0","363.0","0.3125","0.1607143","-111.70204","-111.69624","0.0"
