"274281","2","0.074","0.296","-0.142"
"274282","1","0.131","-0.072","-0.172"
"274285","2","0.043","0.301","-0.149"
"274285","1","0.187","0.017","-0.102"
"274288","2","0.007","0.306","-0.150"
"274289","1","0.271","0.083","-0.049"
"274293","2","-0.033","0.311","-0.150"
"274296","1","0.333","0.134","-0.058"
"274298","2","-0.071","0.318","-0.148"
"274299","1","0.374","0.161","-0.114"
"274312","2","-0.105","0.338","-0.149"
"274316","2","-0.101","0.338","-0.149"
"274318","1","0.304","-0.032","-0.112"
"274318","2","-0.091","0.343","-0.154"
"274322","2","-0.068","0.346","-0.162"
"274323","1","0.271","-0.100","-0.097"
"274328","2","-0.042","0.346","-0.166"
"274329","1","0.273","-0.155","-0.057"
"274333","1","0.254","-0.193","-0.041"
"274334","2","-0.014","0.344","-0.174"
"274338","1","0.253","-0.188","-0.009"
"274342","2","0.032","0.343","-0.188"
"274343","1","0.287","-0.129","0.068"
"274347","2","0.045","0.343","-0.194"
"274348","1","0.318","-0.067","0.125"
"274352","1","0.322","-0.020","0.159"
"274353","2","0.053","0.344","-0.199"
"274358","2","0.055","0.346","-0.206"
"274359","1","0.350","0.064","0.158"
"274362","2","0.053","0.345","-0.213"
"274367","2","0.052","0.340","-0.215"
"274368","1","0.332","0.150","0.231"
"274372","2","0.059","0.332","-0.215"
"274373","1","0.287","0.147","0.246"
"274377","1","0.269","0.107","0.247"
"274377","2","0.068","0.323","-0.216"
"274382","2","0.076","0.317","-0.214"
"274382","1","0.250","0.009","0.298"
"274386","2","0.093","0.309","-0.214"
"274392","2","0.110","0.302","-0.209"
"274398","2","0.129","0.294","-0.205"
"274399","1","0.155","-0.001","0.496"
"274401","2","0.151","0.281","-0.196"
"274402","1","0.112","0.103","0.548"
"274407","2","0.165","0.266","-0.184"
"274407","1","0.078","0.231","0.551"
"274411","1","0.044","0.383","0.608"
"274412","2","0.165","0.252","-0.173"
"274416","2","0.150","0.237","-0.155"
"274417","1","0.039","0.532","0.700"
"274422","1","0.090","0.670","0.734"
"274427","2","0.090","0.202","-0.114"
"274427","1","0.119","0.824","0.733"
"274431","2","0.052","0.185","-0.086"
"274432","1","0.151","0.942","0.731"
"274436","1","0.161","1.045","0.729"
"274436","2","0.020","0.174","-0.055"
"274441","2","-0.007","0.164","-0.022"
"274442","1","0.142","1.112","0.761"
"274446","2","-0.025","0.162","0.012"
"274451","2","-0.038","0.160","0.051"
"274452","1","0.121","1.117","0.792"
"274456","2","-0.043","0.153","0.103"
"274456","1","0.145","1.167","0.734"
"274461","2","-0.037","0.143","0.168"
"274461","1","0.183","1.280","0.693"
"274466","2","-0.023","0.131","0.242"
"274466","1","0.187","1.395","0.712"
"274470","2","-0.009","0.120","0.316"
"274471","1","0.193","1.550","0.746"
"274476","1","0.175","1.751","0.657"
"274480","2","-0.023","0.096","0.470"
"274481","1","0.156","1.998","0.329"
"274485","2","-0.054","0.076","0.553"
"274486","1","0.120","2.286","-0.451"
"274491","1","0.084","2.790","-1.177"
"274491","2","-0.088","0.046","0.653"
"274495","2","-0.067","0.020","0.729"
"274496","1","0.063","3.236","-1.161"
"274500","2","-0.035","-0.008","0.753"
"274506","2","-0.032","-0.045","0.745"
"274507","1","-0.075","2.073","0.075"
"274510","2","-0.016","-0.087","0.732"
"274511","1","-0.259","1.298","0.578"
"274515","2","0.063","-0.134","0.739"
"274515","1","-0.499","0.672","0.920"
"274520","2","0.190","-0.179","0.772"
"274521","1","-0.818","0.102","1.173"
"274525","1","-1.096","-0.419","1.371"
"274525","2","0.329","-0.205","0.811"
"274530","1","-1.221","-0.729","1.389"
"274536","2","0.544","-0.233","0.870"
"274536","1","-1.148","-0.679","1.162"
"274540","1","-0.897","-0.320","0.765"
"274540","2","0.613","-0.247","0.912"
"274544","1","-0.560","0.204","0.400"
"274545","2","0.646","-0.263","0.968"
"274549","1","-0.198","0.676","0.119"
"274550","2","0.633","-0.281","1.018"
"274554","1","0.137","0.941","-0.110"
"274559","2","0.490","-0.310","1.043"
"274560","1","0.454","0.956","-0.298"
"274564","1","0.683","0.766","-0.418"
"274565","2","0.393","-0.310","1.022"
"274569","2","0.296","-0.293","0.991"
"274570","1","0.807","0.410","-0.464"
"274574","2","0.225","-0.261","0.965"
"274575","1","0.839","-0.012","-0.509"
"274580","2","0.184","-0.219","0.959"
"274581","1","0.735","-0.373","-0.584"
"274584","2","0.180","-0.181","0.958"
"274590","2","0.202","-0.152","0.951"
"274590","1","0.448","-1.037","-0.652"
"274594","2","0.229","-0.130","0.933"
"274595","1","0.297","-1.300","-0.614"
"274599","2","0.246","-0.114","0.895"
"274599","1","0.225","-1.458","-0.483"
"274604","2","0.241","-0.105","0.843"
"274604","1","0.162","-1.422","-0.416"
"274609","2","0.212","-0.096","0.788"
"274614","2","0.164","-0.092","0.739"
"274615","1","0.150","-1.144","-0.386"
"274619","2","0.098","-0.093","0.689"
"274619","1","0.153","-1.230","-0.254"
"274623","2","0.014","-0.097","0.632"
"274629","2","-0.083","-0.102","0.560"
"274629","1","0.158","-1.494","-0.074"
"274633","1","0.143","-1.851","0.092"
"274634","2","-0.175","-0.110","0.481"
"274638","1","0.126","-2.291","0.161"
"274643","2","-0.295","-0.127","0.321"
"274644","1","0.127","-2.771","0.145"
"274648","1","0.157","-3.249","0.162"
"274649","2","-0.317","-0.130","0.238"
"274653","1","0.163","-3.673","0.121"
"274654","2","-0.299","-0.125","0.153"
"274658","1","0.159","-4.016","-0.041"
"274659","2","-0.252","-0.111","0.066"
"274663","1","0.164","-4.292","-0.175"
"274663","2","-0.177","-0.087","-0.028"
"274668","1","0.169","-4.393","-0.304"
"274674","2","0.015","-0.016","-0.241"
"274674","1","0.141","-4.383","-0.422"
"274678","1","0.087","-4.212","-0.499"
"274678","2","0.096","0.027","-0.345"
"274682","2","0.144","0.063","-0.432"
"274683","1","0.028","-3.851","-0.541"
"274688","1","-0.021","-3.282","-0.536"
"274688","2","0.162","0.096","-0.498"
"274693","2","0.146","0.118","-0.549"
"274698","2","0.111","0.127","-0.591"
"274699","1","-0.060","-1.850","-0.489"
"274702","2","0.059","0.128","-0.634"
"274703","1","-0.061","-1.303","-0.472"
"274707","1","-0.024","-1.001","-0.467"
