"008423","9","9","008545"
"008749","9","9","008883"
"009061","9","9","009197"
"009334","9","9","009489"
"009630","9","9","009759"
"009919","9","9","010074"
"010233","9","9","010390"
"010549","9","9","010682"
"010842","9","9","010953"
"011085","9","9","011221"
"011357","9","9","011448"
"011895","0","571.0","384.0","0.75","0.35714287","0.0","0.0","0.0"
"011989","0","567.5282","377.03763","0.7625","0.37500003","-445.85007","-530.6424","0.0"
"012005","0","559.9366","366.9366","0.7375","0.33928573","-635.1612","-772.1294","0.0"
"012017","0","549.0","360.0","0.6625","0.30357143","-970.40704","-672.9077","0.0"
"012026","099999","549.0","360.0","0.6625","0.30357143","-970.40704","-672.9077","0.0"
