"214346","2","0.409","-0.098","0.188"
"214359","1","0.030","-0.020","-0.311"
"214360","2","0.325","-0.083","0.188"
"214575","1","0.160","0.883","-3.090"
"214577","2","-1.155","-0.288","-0.379"
"214594","2","-1.226","-0.288","-0.379"
"214595","1","0.093","1.429","-3.604"
"214596","2","-1.431","-0.374","-0.556"
"214597","2","-1.524","-0.391","-0.605"
"214606","1","0.110","1.625","-3.712"
"214611","1","0.163","2.006","-3.757"
"214621","2","-2.119","-0.467","-0.796"
"214624","1","0.365","2.179","-3.647"
"214625","2","-2.246","-0.487","-0.818"
"214627","2","-2.365","-0.514","-0.836"
"214628","1","0.377","2.178","-3.599"
"214639","1","0.423","2.095","-3.493"
"214640","2","-2.566","-0.581","-0.844"
"214642","2","-2.646","-0.625","-0.844"
"214643","1","0.444","2.071","-3.422"
"214659","2","-2.785","-0.776","-0.846"
"214661","1","0.374","2.252","-3.371"
"214663","2","-2.807","-0.834","-0.855"
"214665","1","0.330","2.356","-3.365"
"214674","1","0.203","2.569","-3.272"
"214675","2","-2.844","-0.952","-0.874"
"214678","2","-2.859","-1.021","-0.882"
"214679","1","0.093","2.677","-3.233"
"214694","1","-0.229","2.609","-2.723"
"214696","2","-2.902","-1.237","-0.915"
"214697","2","-2.915","-1.307","-0.922"
"214710","1","-0.425","1.688","-2.172"
"214711","2","-2.919","-1.466","-0.924"
"214713","2","-2.897","-1.559","-0.918"
"214714","1","-0.464","1.376","-1.961"
"214724","2","-2.844","-1.653","-0.908"
"214726","1","-0.453","0.707","-1.554"
"214727","2","-2.758","-1.752","-0.900"
"214744","1","-0.282","-0.062","-1.111"
"214745","2","-2.128","-2.157","-0.875"
"214747","2","-1.917","-2.263","-0.866"
"214758","1","-0.259","0.177","-0.890"
"214759","2","-1.512","-2.450","-0.856"
"214763","1","-0.304","0.280","-0.869"
"214793","1","-0.634","-1.548","-0.544"
"214834","2","-1.351","-3.369","-0.563"
"214834","1","-0.802","-1.548","-0.544"
"214839","1","-0.542","-2.653","0.014"
"214870","2","-1.387","-3.484","-0.919"
"214881","1","1.206","-3.395","-0.218"
"214894","2","-1.833","-3.228","-1.369"
"214911","1","2.170","-4.128","-0.859"
"214912","1","2.242","-4.070","-0.959"
"214913","2","-2.215","-3.065","-1.459"
"214923","1","2.410","-4.035","-1.181"
"214924","2","-2.293","-2.970","-1.629"
"214927","2","-2.329","-2.913","-1.706"
"214928","1","2.457","-3.971","-1.317"
"214932","1","2.544","-3.934","-1.420"
"214936","2","-2.355","-2.848","-1.778"
"214937","2","-2.369","-2.766","-1.847"
"214938","1","2.571","-3.982","-1.390"
"214941","1","2.592","-4.106","-1.291"
"214944","2","-2.380","-2.675","-1.911"
"214953","2","-2.381","-2.486","-2.028"
"214959","1","2.579","-4.875","-1.182"
"214992","2","-1.673","-1.959","-2.321"
"215006","1","3.056","-6.250","-0.127"
"215007","2","-0.901","-1.792","-2.235"
"215008","1","3.172","-6.250","-0.127"
"215011","2","-0.708","-1.716","-2.202"
"215012","1","3.308","-6.276","-0.098"
"215022","1","3.380","-6.409","-0.293"
"215027","2","-0.172","-1.332","-2.073"
"215028","1","3.349","-6.467","-0.463"
"215039","2","0.144","-0.989","-1.954"
"215040","1","3.157","-6.434","-0.655"
"215041","1","2.917","-6.360","-0.793"
"215042","2","0.294","-0.820","-1.874"
"215063","1","1.532","-5.234","-1.267"
"215076","1","0.936","-5.234","-1.267"
"215092","2","1.139","-0.488","-0.653"
"215096","1","0.435","-4.476","-1.326"
"215122","2","1.107","-0.547","0.003"
"215123","1","0.648","-3.527","-0.936"
"215125","1","0.679","-3.403","-0.790"
"215125","2","1.062","-0.531","0.098"
"215135","2","1.006","-0.487","0.266"
"215136","1","0.757","-3.205","-0.447"
"215137","2","0.948","-0.487","0.266"
"215145","1","0.832","-3.070","-0.146"
"215146","2","0.838","-0.448","0.409"
"215157","2","0.766","-0.409","0.511"
"215162","1","0.924","-3.130","0.128"
"215165","2","0.739","-0.368","0.594"
"215166","1","1.115","-3.333","0.219"
"215180","2","0.776","-0.316","0.670"
"215181","1","1.295","-3.662","0.171"
"215185","1","1.357","-3.756","0.134"
"215186","2","0.885","-0.255","0.743"
"215187","1","1.404","-3.756","0.134"
"215200","2","1.041","-0.194","0.818"
"215200","1","1.370","-3.848","0.041"
"215202","2","1.129","-0.167","0.859"
"215202","1","1.337","-3.832","-0.031"
"215214","2","1.294","-0.136","0.947"
"215215","1","1.229","-3.668","-0.216"
"215254","2","1.582","-0.053","1.276"
"215261","1","0.942","-1.335","-1.251"
"215262","2","1.572","0.024","1.289"
"215273","2","1.551","0.162","1.300"
"215277","1","0.697","-0.672","-1.403"
"215278","2","1.484","0.162","1.300"
"215280","1","0.621","-0.480","-1.453"
