"627714","1","0.114","-4.980","-3.296"
"627715","2","-1.115","0.281","0.536"
"627721","2","-0.825","0.408","0.335"
"627721","1","-0.067","-5.605","-3.444"
"627723","2","-0.497","0.509","0.119"
"627730","1","-0.262","-6.036","-3.254"
"627733","2","0.218","0.621","-0.288"
"627734","1","-0.284","-5.918","-3.076"
"627738","2","0.532","0.634","-0.454"
"627738","1","-0.254","-5.508","-2.827"
"627746","1","-0.288","-4.881","-2.569"
"627748","2","0.963","0.636","-0.690"
"627750","1","-0.306","-4.166","-2.388"
"627752","2","1.073","0.659","-0.774"
"627754","1","-0.330","-3.445","-2.257"
"627758","2","1.123","0.708","-0.841"
"627758","1","-0.353","-2.817","-2.114"
"627762","2","1.114","0.782","-0.899"
"627763","1","-0.332","-2.328","-1.985"
"627768","1","-0.264","-1.840","-1.599"
"627772","2","1.060","0.965","-0.988"
"627775","1","-0.190","-1.185","-1.089"
"627777","2","1.065","1.057","-1.014"
"627778","1","-0.124","-0.578","-0.698"
"627783","2","1.051","1.152","-1.050"
"627783","1","-0.008","-0.268","-0.551"
"627788","2","0.990","1.237","-1.098"
"627789","1","0.145","-0.178","-0.513"
"627793","1","0.346","-0.056","-0.415"
"627794","2","0.915","1.301","-1.146"
"627801","2","0.874","1.326","-1.157"
"627803","2","0.904","1.326","-1.157"
"627803","1","0.708","0.639","0.046"
"627807","2","0.988","1.273","-1.105"
"627808","1","0.729","1.108","0.298"
"627812","2","1.100","1.184","-1.016"
"627813","1","0.634","1.578","0.711"
"627817","2","1.226","1.061","-0.901"
"627818","1","0.431","2.082","1.157"
"627822","2","1.346","0.915","-0.781"
"627828","2","1.437","0.757","-0.637"
"627828","1","0.015","3.225","2.053"
"627833","1","-0.110","3.913","2.408"
"627833","2","1.507","0.590","-0.474"
"627838","1","-0.178","4.368","2.700"
"627838","2","1.528","0.433","-0.299"
"627842","2","1.484","0.284","-0.109"
"627843","1","-0.191","4.673","3.021"
"627847","2","1.385","0.137","0.075"
"627847","1","-0.180","4.977","3.281"
"627854","2","1.247","0.013","0.269"
"627857","2","1.058","-0.100","0.465"
"627858","1","-0.037","5.376","3.202"
"627862","2","0.814","-0.209","0.641"
"627863","1","-0.014","5.262","3.004"
"627867","2","0.520","-0.291","0.797"
"627868","1","-0.023","4.966","2.613"
"627872","1","-0.080","4.477","2.184"
"627872","2","0.179","-0.366","0.918"
"627877","1","-0.214","3.842","1.809"
"627882","2","-0.507","-0.518","1.030"
"627883","1","-0.366","3.189","1.552"
"627887","2","-0.787","-0.603","1.038"
"627888","1","-0.502","2.642","1.479"
"627892","2","-0.998","-0.699","1.045"
"627892","1","-0.606","2.227","1.535"
"627897","2","-1.150","-0.796","1.071"
"627898","1","-0.679","1.947","1.652"
